Job Title,Company,Category,Source Platform,Job Count,Salary Amount,Salary Type,Applicant Count
Data Scientist,malomatia,Data Scientist,LinkedIn,1,0,Monthly,
Data Scientist,mthree,Data Scientist,LinkedIn,1,0,Not Specified,
Data Scientist 2,GRVTY,Data Scientist,LinkedIn,1,0,Monthly,
Data Scientist,Qatar Insurance Group,Data Scientist,LinkedIn,1,0,Not Specified,
Data Scientist,Agile Defense,Data Scientist,LinkedIn,1,0,Monthly,
Data Scientist - Mid-Level,"Bluehawk LLC, Intelligence Services",Data Scientist,LinkedIn,1,0,Monthly,
"Data Scientist (AI/ML Modeling, Forecasting and Algorithms)",Yum! Brands,Data Scientist,LinkedIn,1,0,Monthly,
Data Scientist,Tracksuit,Data Scientist,LinkedIn,1,0,Monthly,
Data Scientist,Proton DataLabs,Data Scientist,LinkedIn,1,0,Monthly,
Data Scientist,Murphy AI,Data Scientist,LinkedIn,1,0,Not Specified,
"Director, Partner Solution Architecture",tanium,Data Scientist,Arbeitnow Worldwide,1,335559740,Monthly,
Senior Sales Engineer,Veeamsoftware,Data Scientist,Arbeitnow Worldwide,1,469777815,Hourly,
Software Engineer (all genders) – Batteriesysteme & Plattformen,Cmbluenergyag,Data Scientist,Arbeitnow Worldwide,1,335559740,Hourly,
Senior Electrical Design Engineer (all genders),Cmbluenergyag,Data Scientist,Arbeitnow Worldwide,1,335559740,Monthly,
Automation Engineer (all genders),Cmbluenergyag,Data Scientist,Arbeitnow Worldwide,1,469777815,Monthly,
Scientifique de données - II,Intact,Data Scientist,LinkedIn,1,0,Not Specified,
Scientifique des données,BNP Paribas,Data Scientist,LinkedIn,1,0,Monthly,
Scientifique de données,Canada Mortgage and Housing Corporation (CMHC) Société canadienne d'hypothèques et de logement(SCHL),Data Scientist,LinkedIn,1,0,Not Specified,
Data Scientist,Canada Mortgage and Housing Corporation (CMHC) Société canadienne d'hypothèques et de logement(SCHL),Data Scientist,LinkedIn,1,0,Not Specified,
Candidatures spontanées emploi - 2026,"Videns, propulsée par COFOMO",Data Scientist,LinkedIn,1,0,Monthly,2026.0
Analyste de données / Data Scientist,Genetec,Data Scientist,LinkedIn,1,0,Not Specified,
Scientifique des données,BRP,Data Scientist,LinkedIn,1,0,Not Specified,
DATA SCIENTIST,XSPACE.AI,Data Scientist,LinkedIn,1,0,Not Specified,
Data Scientist II,Intact,Data Scientist,LinkedIn,1,0,Not Specified,
